,C,Mn,Si,P,S,Cr,Ni,Cu,Al,V,Ti,Nb,Mo,N,B,марка стали
0,0.36533,1.50962,0.282,0.0111,0.00792,0.09713,0.1052,0.14285,0.02908,0.08814,6e-05,0.0001,6e-05,0.00785,0.0,37Г2Ф
1,0.28432,1.33433,0.2583,0.0096,0.00714,0.10216,0.12498,0.19266,0.02702,0.00456,0.00714,0.00553,0.01562,0.00892,0.0005,30Г2
2,0.14293,0.53463,0.27399,0.00827,0.00402,0.55438,0.08593,0.11121,0.03223,0.05289,0.0017,0.00355,0.007,0.0062,0.00094,13ХФА
3,0.17656,0.57057,0.27012,0.00848,0.00582,0.99551,0.12524,0.1733,0.03268,0.07311,0.01323,0.04006,0.14019,0.00834,0.0,18ХМФБ
4,0.28418,1.43375,0.2628,0.00889,0.00641,0.09727,0.11977,0.18272,0.02649,0.00555,0.00745,0.00722,0.00998,0.00868,0.0,30Г2-2
5,0.3831,1.57095,0.50435,0.01081,0.00776,0.11996,0.13804,0.18235,0.02752,0.00459,6e-05,2e-05,0.00117,0.0087,0.001,38Г2С
6,0.09218,1.39821,0.59554,0.01026,0.00925,0.07953,0.09887,0.13548,0.03034,0.00567,0.00745,0.00288,0.01199,0.0078,0.001,09Г2С
7,0.27831,1.35238,0.2628,0.00895,0.00631,0.10958,0.13704,0.19352,0.02993,0.00412,0.0098,0.00493,0.01997,0.0101,0.0,30Г2-8
8,0.29024,1.35896,0.2618,0.00949,0.00654,0.09352,0.11782,0.20908,0.02694,0.0055,0.009,0.00585,0.00865,0.00901,0.0,30Г2-3
9,0.29327,0.92171,0.26087,0.0093,0.00534,0.68355,0.12665,0.15436,0.03212,0.00114,0.0,0.0,0.16058,0.00847,0.0,30ХГМА
10,0.32997,0.62696,0.26243,0.01137,0.00996,0.90109,0.08783,0.12683,0.04032,0.0005,0.00087,0.0,0.00319,0.00433,0.0,32ХА
11,0.17242,0.57733,0.28053,0.01059,0.0058,2.60925,0.07736,0.05417,0.03045,0.06087,0.01496,0.04468,0.14542,0.00726,0.0,18Х3МФБ
12,0.19341,0.45976,0.24281,0.01048,0.00821,0.07665,0.07437,0.08143,0.01855,0.01148,0.00285,0.00304,0.01086,0.00672,0.001,20
13,0.21149,0.55781,0.23769,0.00967,0.00662,0.34511,0.06797,0.11128,0.02979,0.04221,2e-05,0.02654,0.00662,0.00765,0.0,20А-У
14,0.29127,0.75105,0.24785,0.01122,0.00527,0.95108,0.09431,0.0982,0.02785,0.00424,0.00171,0.0,0.14905,0.00548,0.0,30ХМА
